case_id,instance_id,repo,upstream_repo,base_commit,language,generation_method,generation_method_raw,method_family,trajectory_count,fail_to_pass_count,pass_to_pass_count,patch_bytes,image_name
SWESMITH_089,sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_cond__odmz2rq5,swesmith/sqlfluff__sqlfluff.50a1c4b6,sqlfluff/sqlfluff,7f50532e8b0c4ccc688488fd2f190cc1498b6176,python,func_pm_remove_cond,func_pm_remove_cond,procedural,1,2,8,684,swesmith.x86_64.sqlfluff__sqlfluff.50a1c4b6
SWESMITH_090,tobymao__sqlglot.036601ba.func_pm_remove_loop__ntiun4kx,swesmith/tobymao__sqlglot.036601ba,tobymao/sqlglot,8074640235858a7bc032ab69fc686416d3292d94,python,func_pm_remove_loop,func_pm_remove_loop,procedural,1,5,2,1537,swesmith.x86_64.tobymao__sqlglot.036601ba
SWESMITH_091,tobymao__sqlglot.036601ba.lm_rewrite__28ucmg0j,swesmith/tobymao__sqlglot.036601ba,tobymao/sqlglot,582810a6432a894a15742aa2dccb2f6d7b8fe49a,python,lm_rewrite,lm_rewrite,llm,1,2,54,1261,swesmith.x86_64.tobymao__sqlglot.036601ba
SWESMITH_092,jsvine__pdfplumber.02ff4313.lm_rewrite__1nhq0adm,swesmith/jsvine__pdfplumber.02ff4313,jsvine/pdfplumber,0674e9924e5fb3980d4502785c574a9b0228e257,python,lm_rewrite,lm_rewrite,llm,1,10,159,1342,swesmith.x86_64.jsvine__pdfplumber.02ff4313
SWESMITH_093,marshmallow-code__apispec.8b421526.pr_831,swesmith/marshmallow-code__apispec.8b421526,marshmallow-code/apispec,2348393bb968ba58dc9e1e633f835fd380bdfac3,python,pr_mirror,pr_831,mirror,1,1,568,635,swesmith.x86_64.marshmallow-code__apispec.8b421526
SWESMITH_094,pandas-dev__pandas.95280573.pr_55807,swesmith/pandas-dev__pandas.95280573,pandas-dev/pandas,96111eac328db8e45198b6c9c91aa682b0835725,python,pr_mirror,pr_55807,mirror,3,6,45,660,swesmith.x86_64.pandas-dev__pandas.95280573
SWESMITH_095,scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__d0h8eyru,swesmith/scanny__python-pptx.278b47b1,scanny/python-pptx,16182ac6d5a7299a584f31dd10c9f2aa320cb7ee,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,4,2653,1455,swesmith.x86_64.scanny__python-pptx.278b47b1
SWESMITH_096,getmoto__moto.694ce1f4.pr_5900,swesmith/getmoto__moto.694ce1f4,getmoto/moto,301f0c63475a0da55d59565301c35638a20cc784,python,pr_mirror,pr_5900,mirror,1,42,60,24680,swesmith.x86_64.getmoto__moto.694ce1f4
SWESMITH_097,pylint-dev__astroid.b114f6b5.lm_rewrite__yl1w79yz,swesmith/pylint-dev__astroid.b114f6b5,pylint-dev/astroid,37934abe3aa78a08ad6aae64672c4e97b01253fe,python,lm_rewrite,lm_rewrite,llm,1,1,1592,3178,swesmith.x86_64.pylint-dev__astroid.b114f6b5
SWESMITH_098,pallets__click.fde47b4b.lm_rewrite__5wzprufu,swesmith/pallets__click.fde47b4b,pallets/click,75968bd93f7c430f96557f0fe92e04787ad88e4b,python,lm_rewrite,lm_rewrite,llm,1,1,478,1631,swesmith.x86_64.pallets__click.fde47b4b
SWESMITH_099,joke2k__faker.8b401a7d.lm_rewrite__vgc38bve,swesmith/joke2k__faker.8b401a7d,joke2k/faker,7b77b9d5eae42750a48f28f1e2f04922d97a3eb3,python,lm_rewrite,lm_rewrite,llm,1,1,2102,2498,swesmith.x86_64.joke2k__faker.8b401a7d
SWESMITH_100,theskumar__python-dotenv.2b8635b7.pr_456,swesmith/theskumar__python-dotenv.2b8635b7,theskumar/python-dotenv,02894a0e3d9e831f007404e7a63fe2b84d9bf921,python,pr_mirror,pr_456,mirror,1,2,119,735,swesmith.x86_64.theskumar__python-dotenv.2b8635b7
